nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,0.281,0.0,,,,,
,CANTERO CENTRAL,"LAFUENTE, AV.  E/  BARROS PAZOS Y RIESTRA, AV.",VILLA SOLDATI,8.0,1427.7420000000004,0.0,,,,,
,CANTERO CENTRAL,"VARELA  E/ MORENO, PERITO, AV. Y BARROS PAZOS,  JOSE (PROLONGACION IMAGINARIA)",VILLA SOLDATI,8.0,63.02,3.0,,,,,
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,727.6389999999999,10.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LANZA Y DEL BARCO CENTENERA",NUEVA POMPEYA,4.0,1023.503,0.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ TILCARA Y DEL BAÑADO",NUEVA POMPEYA,4.0,62.822,3.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ TILCARA Y DEL BAÑADO",NUEVA POMPEYA,4.0,173.19,0.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ GUAL Y LAS PALMAS",NUEVA POMPEYA,4.0,227.831,9990.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,114.61,0.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,73.311,7.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,49.678,9997.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,55.022,9998.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,552.851,0.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,531.89,9990.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,253.927,9990.0,,,,,
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,676.329,9950.0,,,,,
,PLAZOLETA,"CASTILLA, RAMON, MCAL. - ELIZALDE, RUFINO DE - AGUADO, ALEJANDRO M. DE - (MONUMENTO AL ABUELO INMORTAL)",PALERMO,14.0,133.87,0.0,,,,,
,PLAZOLETA,"BOEDO, AV.   Y MORENO",ALMAGRO,5.0,106.681,0.0,,,,,
,PLAZOLETA,"BOEDO, AV.   Y MORENO",ALMAGRO,5.0,16.69,1.0,,,,,
,PLAZOLETA,"PASEO COLON, AV.  E/ ESTADOS UNIDOS Y CALVO, CARLOS",SAN TELMO,1.0,265.927,20.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ ALVEAR, MARCELO T. DE Y ROJAS, RICARDO, DR.",RETIRO,1.0,686.814,9960.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ ALVEAR, MARCELO T. DE Y ROJAS, RICARDO, DR.",RETIRO,1.0,703.83,40.0,,,,,
