nombre,clasificac,ubicacion,barrio,comuna,area,perimeter
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,445.046,9990.0
PLAZA ALEMANIA,PLAZA,"DEL LIBERTADOR, AV. - CASARES, AV. - CASTEX - CAVIA",PALERMO,14.0,24954.313,8000.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,158.379,9990.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,1527.7720000000004,9900.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,280.091,10.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,200.75,0.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,173.482,0.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,494.387,0.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,441.107,30.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,32.486,9997.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,137.388,10.0
PLAZA BRIG. GRAL. J. M. ZAPIOLA,PLAZA,"ACHA, MARIANO - JURAMENTO - DONADO - ECHEVERRIA",VILLA URQUIZA,12.0,5972.153,200.0
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,431.193,9980.0
PO. DE LOS VECINOS DESTACADOS DE VILLA LUGANO COMUNA 8 - AMALIA CELIA FIGUEREDO,CANTERO CENTRAL,"RIESTRA, AV. E/ LEGUIZAMON, MARTINIANO Y CAFAYATE",VILLA LUGANO,8.0,212.447,0.0
