Nombre,Score,Reviews,Descripcion,Direccion,CLASE
IGNACIO CORSINI,4.1,11.0,PARQUE,,PLAZOLETAS
PLAZOLETA MARIO JORGE DE LELLIS,4.1,10.0,PARQUE LOCAL,ANGEL PELUFFO 3996-4000,PLAZOLETAS
ALMTE. GUILLERMO BROWN,4.1,9.0,,,
PLAZOLETA DR AVELINO GUTIERREZ,4.1,7.0,PARQUE,"C1424AYO, EMILIO MITRE 793",PLAZOLETAS
PLAZA DE LOS VECINOS,4.1,7.0,PARQUE,,PLAZOLETAS
"ERNESTO ""CHE"" GUEVARA",4.0,2405.0,,,
PLAZOLETA VERANO PORTEÑO,4.0,1572.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA 11 DE NOVIEMBRE DE 1859,4.0,957.0,PARQUE,AV. DIRECTORIO 2600,PLAZOLETAS
PLAZOLETA TRES DE FEBRERO,4.0,887.0,PARQUE,"B1703ACB, ROMAN GOMEZ 1610-1648",PLAZOLETAS
GRAL. FRANCISCO RAMIREZ // PITA Y PEDERNERA,4.0,813.0,,,
PLAZA LODELPA,4.0,574.0,PARQUE ESTATAL,"B1684ASJ, LIBERTAD 2598",JARDINES
PLAZOLETA MIGUEL ABUELO,4.0,358.0,PARQUE,"AVENIDA CABILDO,C1426AAA, CARRANZA",PLAZOLETAS
PLAZOLETA RAFAEL DEL RIEGO Y NUÑEZ,4.0,320.0,PARQUE,ARCOS 1249,PLAZOLETAS
PLAZA JORGE CASAL,4.0,314.0,PARQUE,"C1431BZF, AV TRIUNVIRATO 4763",PLAZOLETAS
PLAZOLETA ELENA L. DE ROFFO,4.0,217.0,PARQUE LOCAL,,PLAZOLETAS
PLAZOLETA OBISPO ENRIQUE ANGELELLI,4.0,203.0,PARQUE,FERRE 1860,PLAZOLETAS
OBISPO ENRIQUE ANGELELLI,4.0,203.0,,,
PLAZOLETA JUSTO SUAREZ,4.0,192.0,PARQUE,"2337,, AV. CORONEL CARDENAS 2301",PLAZOLETAS
HERMINIA C. BRUMANA,4.0,180.0,PARQUE,AV. FRANCISCO BILBAO 2301-2319,PLAZOLETAS
EMILIO TRONCOSO,4.0,166.0,PARQUE,"C1439BIB, ING ENRIQUE HERMITTE 5402-5500",PLAZOLETAS
PASEO DEL RIACHUELO,4.0,162.0,PARQUE,ARTURO BERUTTI Y ENRIQUE OCHOA,PLAZOLETAS
PLAZOLETA AGUSTIN COMASTRI,4.0,160.0,PARQUE,BONPLAND 1256-1300,PLAZOLETAS
ING. G. AVE LALLEMANT,4.0,114.0,PARQUE,"C1429DEE, AV. GARCIA DEL RIO 2851-2859",PLAZOLETAS
PLAZA DE LOS INTENDENTES,4.0,111.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA YUGOSLAVIA,4.0,95.0,PARQUE,,PLAZOLETAS
PARQUE DE FLORA NATIVA BENITO QUINQUELA MARTIN,4.0,63.0,,,
